Feature,Normalized.Dispersion
LOC117689737,nan
LOC117687025,nan
LOC105321472,-0.9152338637074666
LOC117689460,nan
LOC105344774,nan
LOC117687074,nan
LOC117682936,-1.7551198674527897
LOC105336148,0.5307129082206529
LOC105346550,-0.5094475852005805
LOC105321192,nan
LOC117684466,nan
LOC117684471,1.370248217224275
LOC105333180,2.211869574499188
LOC105321195,0.527669446247307
LOC105321194,1.3736892203679016
LOC105321193,-0.9719080848362066
LOC105321197,-0.77491509440708
LOC105321199,-0.7663044242684462
LOC105321198,-0.9643093981781529
LOC105321201,-2.14876070571025
LOC105321202,nan
LOC105321203,3.712996947655914
LOC105328747,-0.552870299707371
LOC105328746,1.298038739188085
LOC105328744,-0.2272116869057681
LOC105328743,1.2674047187826714
LOC105328742,-1.0234893963074825
LOC105328741,1.0717232387107494
LOC109619976,-0.41308833187556715
LOC105337994,0.6110714969443383
LOC105328736,3.239512736612986
LOC105338004,nan
LOC117684581,nan
LOC117684584,2.164064275906606
LOC109620526,nan
LOC105342798,nan
LOC105320538,1.1285590882240915
LOC105320528,1.287096014611904
LOC105320530,-1.0534539473884215
LOC105320526,0.6997602206197742
LOC109618754,nan
LOC105318169,0.06965654959276252
LOC105318171,0.3096789691310248
LOC105318173,-1.065306151617504
LOC105318172,-0.6766906402505612
LOC105318174,-0.8312110556776224
LOC105318175,-1.1710868521683993
LOC105318177,0.2548690461407281
LOC117684712,nan
LOC105318179,6.746714995262186
LOC117684715,9.006967539657134
LOC117684721,-1.0739131883580766
LOC109619554,nan
LOC105329536,-0.9797509227606158
LOC105329535,0.13573422800164317
LOC105329534,4.48498222634648
LOC117684746,-0.4644660215690932
LOC105329532,-1.4056597720237982
LOC105329531,-0.5672603500763537
LOC105327371,nan
LOC105327353,nan
LOC105324352,1.1970145781032462
LOC109618651,-0.7603677850506748
LOC117692528,-1.7814963197402536
LOC105327355,-0.8474677174033558
LOC105327359,8.153262595736178
LOC105327358,-0.8826139586185495
LOC105327360,22.94332093620985
LOC105327361,-0.5157676701480284
LOC105327363,5.511682734104403
LOC105321409,1.7301470422944991
LOC105345084,-0.0849510009438983
LOC105347024,2.0261483565861447
LOC117681699,nan
LOC105327365,0.6062162125019321
LOC105319881,-1.8541975626625693
LOC117681707,3.3401021484837186
LOC105319882,-0.7270368870132384
LOC105319883,-0.5511808607163351
LOC105319884,-1.5686206071432576
LOC105319885,-1.615887687376942
LOC117681709,-0.027567457304751943
LOC117681711,-0.7550933042503587
LOC105319886,-3.0401973519085486
LOC105342315,-0.02999479758102834
