LOC_ID,gene_ID,unitpro,up_evalue,cel,cel_evalue,dmel,dmel_evalue,spur_acc,spur_evalue
LOC105326593,uncharacterized LOC105326593,Q99715.2,3e-16,K07D8.1.1,4.15e-13,obst-J-PA,0.034,XP_030835925.1,3.35e-06
LOC105344258,prostaglandin G/H synthase 2-like,O02768.1,0,R08F11.7.1,3.18e-16,Pxt-PB,1.75e-16,XP_030839603.1,2.81e-12
LOC105345808,"cytochrome b-c1 complex subunit Rieske, mitochondrial-like",Q5ZLR5.1,4.86e-69,F42G8.12.1,1.96e-67,RFeSP-PE,2.33e-67,XP_780127.2,1.85e-67
LOC105325073,interleukin 17-like protein,A9XE49.1,2.3e-08,C06G3.6.1,0.22,TER94-PD,1.7,XP_030849761.1,2.68e-09
Tyr,tyrosinase,H2A0L0.1,2.43e-33,Y73B6BL.1.1,2.62e-37,PPO2-PA,4.1,XP_792448.4,6.32e-08
Pepck,phosphoenolpyruvate carboxykinase,P29190.1,0,R11A5.4a.2,0,Pepck1-PA,0,XP_030830948.1,0
LOC105347355,uncharacterized LOC105347355,A0A0A7DNP6.1,1.33e-10,Y19D10A.13.1,1.6,CG6415-PA,2.2,XP_789627.1,3
LOC105320742,catenin beta-like,P35224.1,0,K05C4.6a.2,2.14e-93,arm-PF,0,XP_011680157.1,0
LOC105339176,voltage-dependent anion-selective channel protein 2-like,P81004.1,8.41e-130,R05G6.7.1,3.85e-63,porin-PE,1.46e-113,XP_030834916.1,4.09e-108
LOC105344040,tyrosinase-like protein 2,H2A0L1.1,1.6e-40,F21C3.2.1,1.63e-37,,,XP_792448.4,2.21e-07
LOC105346614,cytochrome b5-like,P00173.2,1.56e-34,C31E10.7.2,2.26e-27,Cyt-b5-PB,4.58e-33,XP_794053.3,2.18e-37
LOC105336631,T-cell acute lymphocytic leukemia protein 1-like,Q90YI8.1,2.68e-26,C43H6.8.1,8.85e-12,HLH3B-PA,2.06e-27,XP_030844277.1,1.15e-23
LOC105344313,72 kDa type IV collagenase-like,Q9ULZ9.4,1.2e-111,C31B8.8.1,1.69e-42,Mmp1-PH,3.09e-88,XP_786545.2,4.44e-97
LOC105342266,lysine-specific demethylase 5A-like,Q3UXZ9.2,0,ZK593.4b.1,5.1e-151,Kdm5-PF,0,XP_030827948.1,0
LOC105348415,"steroid 17-alpha-hydroxylase/17,20 lyase-like",Q92113.1,1.8e-90,C45H4.2.1,6.38e-51,Cyp18a1-PB,9.07e-61,XP_030835845.1,1.97e-106
LOC105318976,bifunctional arginine demethylase and lysyl-hydroxylase JMJD6-like,Q6PFM0.2,0,F29B9.4a.1,5.87e-140,PSR-PA,5.78e-163,XP_030849206.1,0
LOC105335360,hepatic lectin-like,Q6ZS10.2,1.28e-13,ZK1193.2a.1,1.92e-11,lectin-46Cb-PB,1.66e-08,XP_030829801.1,1.07e-12
LOC105333315,probable ATP-dependent RNA helicase DHX58,Q6Q899.2,1.41e-89,F15B10.2b.1,9.75e-63,Dcr-2-PB,9.28e-18,XP_030830677.1,7.8e-73
LOC105327172,nacrein-like protein,P86856.1,2.85e-80,K05G3.3.1,4.78e-10,CAH6-PB,3.6e-10,XP_030829861.1,1.16e-11
Arpc3,"actin related protein 2/3 complex, subunit 3, 21kDa",O15145.3,1.24e-94,Y37D8A.1.1,7.24e-61,Arpc3A-PE,4.42e-78,XP_030847587.1,1.24e-83
LOC105339973,natural resistance-associated macrophage protein 2-like,P49283.2,2.37e-173,Y69A2AR.4.1,7.37e-155,Mvl-PG,2.15e-151,XP_030828659.1,0
LOC105335878,nacrein-like protein,P86856.1,1.81e-37,F54D8.4a.1,7.74e-12,CAH6-PB,1.13e-16,XP_030829861.1,1.39e-14
Hmgb1,high mobility group box 1,O54879.3,4.24e-26,Y48B6A.14.2,1.21e-11,Dsp1-PE,2e-16,XP_030828041.1,1.13e-34
Maoa,monoamine oxidase A,P49253.2,0,B0019.1.1,6.19e-16,CG8032-PB,3e-04,XP_003725257.1,3.01e-173
LOC105329483,tolloid-like protein 1,Q8JI28.1,0,F38E9.2.1,0,tok-PC,0,XP_030834881.1,0
LOC105338957,elongation factor 1-alpha,Q92005.1,0,R03G5.1a.4,0,eEF1alpha1-PE,0,NP_001116969.1,0
LOC105348430,40S ribosomal protein S23,Q86FP7.1,1.9e-87,F28D1.7a.2,1.24e-83,RpS23-PA,1.59e-87,XP_030828619.1,3.5e-85
LOC105327695,uncharacterized LOC105327695,Q9I931.1,1.92e-05,K02B12.5.1,0.068,fw-PC,0.056,XP_030835557.1,3.42e-10
LOC105337679,sodium- and chloride-dependent glycine transporter 1-like,Q9Y345.3,2.83e-168,T03F7.1.1,4.2e-138,DAT-PA,5.89e-155,XP_782933.4,2.97e-176
LOC105344847,lipopolysaccharide-binding protein-like,P17454.2,2.79e-55,F01G10.10.1,5.33e-27,Sr-CII-PB,1.6,XP_030832049.1,1.67e-81
LOC105343056,soma ferritin-like,P42577.2,2.18e-104,D1037.3.2,3.37e-73,Fer3HCH-PA,1.41e-51,XP_030844960.1,5.65e-82
LOC105328983,uncharacterized LOC105328983,Q9ULX7.1,7.39e-49,K05G3.3.1,7.71e-33,CAH2-PA,4.75e-33,XP_030829642.1,6.9e-46
LOC105331552,lysine-specific demethylase 4C-like,Q8VCD7.1,3.24e-98,Y48B6A.11.1,4.63e-26,Br140-PB,9.54e-26,XP_030851905.1,6.39e-82
Clp1,cleavage and polyadenylation factor I subunit 1,H2A0L4.1,0,C04F6.3.1,4.31e-49,Cht7-PA,3.71e-64,XP_030850869.1,1.9e-06
LOC105342048,caspase-7-like,P97864.2,1.19e-86,C48D1.2b.1,5.89e-37,Drice-PA,1.84e-69,XP_030851381.1,1.69e-70
LOC105332577,putative chitinase 1,H2A0L4.1,3.98e-175,C04F6.3.1,2.26e-48,Cht8-PA,3.03e-64,XP_011683841.2,2.07e-06
LOC105343591,protein Jumonji-like,Q5F363.1,3.98e-56,ZK593.4a.1,3.56e-28,Jarid2-PD,1.05e-98,XP_030831437.1,2.53e-68
LOC105326445,uncharacterized LOC105326445,O53532.1,7.04e-23,R08E5.3.1,8.33e-35,CG1239-PC,1.3,XP_030832654.1,2.13e-52
LOC105331571,chitotriosidase-1-like,Q13231.1,1.96e-129,C04F6.3.1,1.93e-90,Cht7-PA,6.51e-105,XP_030849342.1,8.8e-05
LOC105330807,spidroin-2-like,Q9BTC0.5,9.6e-05,Y53C10A.10.1,4.81e-05,,,XP_030836411.1,0.003
LOC105344124,hepatic leukemia factor-like,Q8BW74.1,3.25e-61,ZK909.4.1,1.34e-13,Pdp1-PN,7.12e-41,NP_001123286.1,2.67e-62
LOC105335166,probable ATP-dependent RNA helicase DDX4,Q4R5S7.1,0,Y54E10A.9a.2,3.06e-147,vas-PC,4.06e-150,NP_001139665.1,0
Actr2,ARP2 actin-related protein 2 homolog (yeast),Q90670.1,1.4e-159,C05D2.1c.1,2.64e-64,put-PC,1.32e-134,XP_030855922.1,8.94e-156
LOC105340800,dimethylaniline monooxygenase [N-oxide-forming] 2-like,Q9C8U0.2,1.06e-55,C01H6.4.1,2.99e-56,Fmo-2-PA,4.88e-69,XP_030828992.1,1.89e-90
